Ano;Dia;Hora;Casa;Fora;GC;GF;Res
2012;19/05/2012;22:30:00;Palmeiras;Portuguesa;1;1;e
2012;19/05/2012;22:30:00;Sport Recife;Flamengo RJ;1;1;e
2012;20/05/2012;01:00:00;Figueirense;Nautico;2;1;C
2012;20/05/2012;20:00:00;Botafogo RJ;Sao Paulo;4;2;C
2012;20/05/2012;20:00:00;Corinthians;Fluminense;0;1;F
2012;20/05/2012;20:00:00;Internacional;Coritiba;2;0;C
2012;20/05/2012;20:00:00;Ponte Preta;Atletico-MG;0;1;F
2012;20/05/2012;22:30:00;Bahia;Santos;0;0;e
2012;20/05/2012;22:30:00;Cruzeiro;Atletico GO;0;0;e
2012;20/05/2012;22:30:00;Vasco;Gremio;2;1;C
2012;26/05/2012;22:30:00;Atletico GO;Ponte Preta;1;1;e
2012;26/05/2012;22:30:00;Flamengo RJ;Internacional;3;3;e
2012;26/05/2012;22:30:00;Portuguesa;Vasco;0;1;F
2012;27/05/2012;01:00:00;Nautico;Cruzeiro;0;0;e
2012;27/05/2012;20:00:00;Atletico-MG;Corinthians;1;0;C
2012;27/05/2012;20:00:00;Coritiba;Botafogo RJ;2;3;F
2012;27/05/2012;20:00:00;Santos;Sport Recife;0;0;e
2012;27/05/2012;20:00:00;Sao Paulo;Bahia;1;0;C
2012;27/05/2012;22:30:00;Fluminense;Figueirense;2;2;e
2012;27/05/2012;22:30:00;Gremio;Palmeiras;1;0;C
2012;06/06/2012;23:30:00;Atletico GO;Gremio;0;1;F
2012;06/06/2012;23:30:00;Sport Recife;Palmeiras;2;1;C
2012;07/06/2012;00:30:00;Atletico-MG;Bahia;1;1;e
2012;07/06/2012;00:30:00;Coritiba;Portuguesa;2;0;C
2012;07/06/2012;00:30:00;Vasco;Nautico;4;2;C
2012;07/06/2012;01:50:00;Internacional;Sao Paulo;1;0;C
2012;07/06/2012;01:50:00;Ponte Preta;Flamengo RJ;2;2;e
2012;07/06/2012;01:50:00;Santos;Fluminense;1;1;e
2012;08/06/2012;01:00:00;Botafogo RJ;Cruzeiro;2;3;F
2012;08/06/2012;01:00:00;Corinthians;Figueirense;1;1;e
2012;09/06/2012;22:30:00;Flamengo RJ;Coritiba;3;1;C
2012;10/06/2012;01:00:00;Palmeiras;Atletico-MG;0;1;F
2012;10/06/2012;20:00:00;Portuguesa;Atletico GO;2;0;C
2012;10/06/2012;21:00:00;Bahia;Vasco;1;2;F
2012;10/06/2012;21:00:00;Fluminense;Internacional;0;0;e
2012;10/06/2012;21:00:00;Gremio;Corinthians;2;0;C
2012;10/06/2012;22:30:00;Cruzeiro;Sport Recife;1;0;C
2012;10/06/2012;22:30:00;Figueirense;Ponte Preta;0;0;e
2012;10/06/2012;22:30:00;Nautico;Botafogo RJ;3;2;C
2012;10/06/2012;22:30:00;Sao Paulo;Santos;1;0;C
2012;16/06/2012;22:30:00;Cruzeiro;Figueirense;1;0;C
2012;16/06/2012;22:30:00;Internacional;Botafogo RJ;1;2;F
2012;17/06/2012;01:00:00;Fluminense;Portuguesa;4;1;C
2012;17/06/2012;20:00:00;Bahia;Sport Recife;2;1;C
2012;17/06/2012;20:00:00;Flamengo RJ;Santos;1;0;C
2012;17/06/2012;20:00:00;Palmeiras;Vasco;1;1;e
2012;17/06/2012;20:00:00;Sao Paulo;Atletico-MG;1;0;C
2012;17/06/2012;22:30:00;Coritiba;Atletico GO;3;0;C
2012;17/06/2012;22:30:00;Nautico;Gremio;1;0;C
2012;17/06/2012;22:30:00;Ponte Preta;Corinthians;1;0;C
2012;23/06/2012;22:30:00;Portuguesa;Sao Paulo;1;0;C
2012;23/06/2012;22:30:00;Vasco;Cruzeiro;1;3;F
2012;24/06/2012;01:00:00;Atletico-MG;Nautico;5;1;C
2012;24/06/2012;20:00:00;Corinthians;Palmeiras;2;1;C
2012;24/06/2012;20:00:00;Figueirense;Bahia;1;1;e
2012;24/06/2012;20:00:00;Gremio;Flamengo RJ;2;0;C
2012;24/06/2012;22:30:00;Atletico GO;Fluminense;1;4;F
2012;24/06/2012;22:30:00;Botafogo RJ;Ponte Preta;1;2;F
2012;24/06/2012;22:30:00;Santos;Coritiba;2;2;e
2012;24/06/2012;22:30:00;Sport Recife;Internacional;0;2;F
2012;30/06/2012;20:20:00;Cruzeiro;Sao Paulo;2;3;F
2012;30/06/2012;20:20:00;Nautico;Fluminense;0;2;F
2012;30/06/2012;22:30:00;Vasco;Ponte Preta;3;2;C
2012;01/07/2012;20:00:00;Bahia;Internacional;1;1;e
2012;01/07/2012;20:00:00;Coritiba;Sport Recife;2;3;F
2012;01/07/2012;20:00:00;Portuguesa;Santos;0;0;e
2012;01/07/2012;22:30:00;Flamengo RJ;Atletico GO;3;2;C
2012;01/07/2012;22:30:00;Gremio;Atletico-MG;0;1;F
2012;01/07/2012;22:30:00;Palmeiras;Figueirense;3;1;C
2012;07/07/2012;22:30:00;Botafogo RJ;Bahia;3;0;C
2012;07/07/2012;22:30:00;Internacional;Cruzeiro;2;1;C
2012;08/07/2012;01:00:00;Atletico GO;Nautico;0;1;F
2012;08/07/2012;20:00:00;Figueirense;Vasco;1;1;e
2012;08/07/2012;20:00:00;Fluminense;Flamengo RJ;1;0;C
2012;08/07/2012;20:00:00;Santos;Gremio;4;2;C
2012;08/07/2012;20:00:00;Sao Paulo;Coritiba;3;1;C
2012;08/07/2012;22:30:00;Atletico-MG;Portuguesa;2;0;C
2012;08/07/2012;22:30:00;Ponte Preta;Palmeiras;1;0;C
2012;08/07/2012;22:30:00;Sport Recife;Corinthians;1;1;e
2012;11/07/2012;23:30:00;Corinthians;Botafogo RJ;1;3;F
2012;14/07/2012;22:30:00;Corinthians;Nautico;2;1;C
2012;14/07/2012;22:30:00;Figueirense;Atletico-MG;3;4;F
2012;15/07/2012;01:00:00;Ponte Preta;Coritiba;4;1;C
2012;15/07/2012;20:00:00;Bahia;Flamengo RJ;1;2;F
2012;15/07/2012;20:00:00;Botafogo RJ;Fluminense;1;1;e
2012;15/07/2012;20:00:00;Cruzeiro;Gremio;1;3;F
2012;15/07/2012;20:00:00;Internacional;Santos;0;0;e
2012;15/07/2012;22:30:00;Palmeiras;Sao Paulo;1;1;e
2012;15/07/2012;22:30:00;Sport Recife;Portuguesa;2;1;C
2012;15/07/2012;22:30:00;Vasco;Atletico GO;1;0;C
2012;18/07/2012;23:30:00;Gremio;Sport Recife;3;1;C
2012;18/07/2012;23:30:00;Santos;Botafogo RJ;0;0;e
2012;19/07/2012;00:30:00;Nautico;Ponte Preta;3;0;C
2012;19/07/2012;00:30:00;Portuguesa;Cruzeiro;0;2;F
2012;19/07/2012;01:50:00;Atletico-MG;Internacional;3;1;C
2012;19/07/2012;01:50:00;Flamengo RJ;Corinthians;0;3;F
2012;19/07/2012;01:50:00;Sao Paulo;Vasco;0;1;F
2012;20/07/2012;01:00:00;Atletico GO;Figueirense;3;2;C
2012;20/07/2012;01:00:00;Coritiba;Palmeiras;1;1;e
2012;20/07/2012;01:00:00;Fluminense;Bahia;4;0;C
2012;21/07/2012;22:30:00;Sport Recife;Atletico-MG;1;4;F
2012;21/07/2012;22:30:00;Vasco;Santos;2;0;C
2012;22/07/2012;01:00:00;Corinthians;Portuguesa;1;1;e
2012;22/07/2012;20:00:00;Cruzeiro;Flamengo RJ;1;0;C
2012;22/07/2012;20:00:00;Figueirense;Sao Paulo;0;2;F
2012;22/07/2012;20:00:00;Internacional;Atletico GO;4;1;C
2012;22/07/2012;20:00:00;Palmeiras;Nautico;3;0;C
2012;22/07/2012;22:30:00;Bahia;Coritiba;2;2;e
2012;22/07/2012;22:30:00;Botafogo RJ;Gremio;0;1;F
2012;22/07/2012;22:30:00;Ponte Preta;Fluminense;1;2;F
2012;25/07/2012;23:30:00;Figueirense;Internacional;0;1;F
2012;25/07/2012;23:30:00;Ponte Preta;Sport Recife;1;1;e
2012;26/07/2012;00:30:00;Nautico;Coritiba;3;4;F
2012;26/07/2012;00:30:00;Vasco;Botafogo RJ;1;0;C
2012;26/07/2012;01:50:00;Atletico GO;Sao Paulo;4;3;C
2012;26/07/2012;01:50:00;Corinthians;Cruzeiro;2;0;C
2012;26/07/2012;01:50:00;Gremio;Fluminense;1;0;C
2012;27/07/2012;01:00:00;Atletico-MG;Santos;2;0;C
2012;27/07/2012;01:00:00;Flamengo RJ;Portuguesa;0;0;e
2012;27/07/2012;01:00:00;Palmeiras;Bahia;0;2;F
2012;28/07/2012;22:30:00;Coritiba;Gremio;2;1;C
2012;28/07/2012;22:30:00;Internacional;Vasco;0;0;e
2012;29/07/2012;01:00:00;Botafogo RJ;Figueirense;1;0;C
2012;29/07/2012;20:00:00;Bahia;Corinthians;0;0;e
2012;29/07/2012;20:00:00;Fluminense;Atletico-MG;0;0;e
2012;29/07/2012;20:00:00;Sao Paulo;Flamengo RJ;4;1;C
2012;29/07/2012;20:00:00;Sport Recife;Atletico GO;0;0;e
2012;29/07/2012;22:30:00;Cruzeiro;Palmeiras;2;1;C
2012;29/07/2012;22:30:00;Portuguesa;Nautico;3;1;C
2012;29/07/2012;22:30:00;Santos;Ponte Preta;2;1;C
2012;04/08/2012;22:30:00;Atletico GO;Botafogo RJ;1;2;F
2012;04/08/2012;22:30:00;Palmeiras;Internacional;0;1;F
2012;05/08/2012;01:00:00;Portuguesa;Figueirense;2;0;C
2012;05/08/2012;20:00:00;Coritiba;Fluminense;0;2;F
2012;05/08/2012;20:00:00;Gremio;Bahia;3;1;C
2012;05/08/2012;20:00:00;Sao Paulo;Sport Recife;1;0;C
2012;05/08/2012;20:00:00;Vasco;Corinthians;0;0;e
2012;05/08/2012;22:30:00;Cruzeiro;Ponte Preta;1;2;F
2012;05/08/2012;22:30:00;Nautico;Santos;3;0;C
2012;08/08/2012;23:30:00;Internacional;Nautico;0;0;e
2012;08/08/2012;23:30:00;Sport Recife;Vasco;0;2;F
2012;09/08/2012;00:30:00;Bahia;Portuguesa;0;0;e
2012;09/08/2012;00:30:00;Corinthians;Atletico GO;1;1;e
2012;09/08/2012;01:50:00;Botafogo RJ;Palmeiras;1;2;F
2012;09/08/2012;01:50:00;Figueirense;Flamengo RJ;0;2;F
2012;09/08/2012;01:50:00;Santos;Cruzeiro;4;2;C
2012;10/08/2012;01:00:00;Atletico-MG;Coritiba;1;0;C
2012;10/08/2012;01:00:00;Fluminense;Sao Paulo;2;1;C
2012;10/08/2012;01:00:00;Ponte Preta;Gremio;0;0;e
2012;11/08/2012;22:30:00;Bahia;Cruzeiro;0;1;F
2012;11/08/2012;22:30:00;Santos;Atletico GO;2;2;e
2012;11/08/2012;22:30:00;Sport Recife;Figueirense;0;1;F
2012;12/08/2012;01:00:00;Flamengo RJ;Nautico;2;0;C
2012;12/08/2012;20:00:00;Atletico-MG;Vasco;1;0;C
2012;12/08/2012;20:00:00;Coritiba;Corinthians;1;2;F
2012;12/08/2012;20:00:00;Internacional;Ponte Preta;2;1;C
2012;12/08/2012;20:00:00;Sao Paulo;Gremio;1;2;F
2012;12/08/2012;22:30:00;Fluminense;Palmeiras;1;0;C
2012;12/08/2012;22:30:00;Portuguesa;Botafogo RJ;1;1;e
2012;15/08/2012;23:30:00;Cruzeiro;Fluminense;1;1;e
2012;15/08/2012;23:30:00;Gremio;Portuguesa;1;2;F
2012;16/08/2012;00:30:00;Atletico GO;Atletico-MG;1;1;e
2012;16/08/2012;00:30:00;Ponte Preta;Bahia;0;2;F
2012;16/08/2012;01:50:00;Botafogo RJ;Sport Recife;2;0;C
2012;16/08/2012;01:50:00;Nautico;Sao Paulo;3;0;C
2012;16/08/2012;01:50:00;Palmeiras;Flamengo RJ;1;0;C
2012;17/08/2012;01:00:00;Corinthians;Internacional;1;0;C
2012;17/08/2012;01:00:00;Figueirense;Santos;1;3;F
2012;17/08/2012;01:00:00;Vasco;Coritiba;2;2;e
2012;18/08/2012;22:30:00;Fluminense;Sport Recife;1;0;C
2012;18/08/2012;22:30:00;Nautico;Bahia;1;0;C
2012;19/08/2012;01:00:00;Sao Paulo;Ponte Preta;3;0;C
2012;19/08/2012;20:00:00;Atletico-MG;Botafogo RJ;3;2;C
2012;19/08/2012;20:00:00;Coritiba;Cruzeiro;4;0;C
2012;19/08/2012;20:00:00;Gremio;Figueirense;4;0;C
2012;19/08/2012;20:00:00;Santos;Corinthians;3;2;C
2012;19/08/2012;22:30:00;Atletico GO;Palmeiras;2;1;C
2012;19/08/2012;22:30:00;Flamengo RJ;Vasco;1;0;C
2012;19/08/2012;22:30:00;Portuguesa;Internacional;1;1;e
2012;25/08/2012;22:30:00;Palmeiras;Santos;1;2;F
2012;25/08/2012;22:30:00;Vasco;Fluminense;1;2;F
2012;26/08/2012;01:00:00;Ponte Preta;Portuguesa;2;1;C
2012;26/08/2012;20:00:00;Botafogo RJ;Flamengo RJ;0;0;e
2012;26/08/2012;20:00:00;Corinthians;Sao Paulo;1;2;F
2012;26/08/2012;20:00:00;Figueirense;Coritiba;3;1;C
2012;26/08/2012;20:00:00;Internacional;Gremio;0;1;F
2012;26/08/2012;22:30:00;Bahia;Atletico GO;1;1;e
2012;26/08/2012;22:30:00;Cruzeiro;Atletico-MG;2;2;e
2012;26/08/2012;22:30:00;Sport Recife;Nautico;0;0;e
2012;29/08/2012;23:30:00;Coritiba;Internacional;1;0;C
2012;29/08/2012;23:30:00;Santos;Bahia;1;3;F
2012;30/08/2012;00:30:00;Atletico-MG;Ponte Preta;2;2;e
2012;30/08/2012;00:30:00;Nautico;Figueirense;3;2;C
2012;30/08/2012;00:30:00;Portuguesa;Palmeiras;3;0;C
2012;30/08/2012;02:00:00;Atletico GO;Cruzeiro;0;2;F
2012;30/08/2012;02:00:00;Fluminense;Corinthians;1;1;e
2012;30/08/2012;02:00:00;Gremio;Vasco;2;0;C
2012;31/08/2012;01:00:00;Flamengo RJ;Sport Recife;1;1;e
2012;31/08/2012;01:00:00;Sao Paulo;Botafogo RJ;4;0;C
2012;01/09/2012;22:30:00;Figueirense;Fluminense;2;2;e
2012;01/09/2012;22:30:00;Palmeiras;Gremio;0;0;e
2012;02/09/2012;01:00:00;Vasco;Portuguesa;2;0;C
2012;02/09/2012;20:00:00;Bahia;Sao Paulo;1;0;C
2012;02/09/2012;20:00:00;Corinthians;Atletico-MG;1;0;C
2012;02/09/2012;20:00:00;Internacional;Flamengo RJ;4;1;C
2012;02/09/2012;20:00:00;Sport Recife;Santos;2;1;C
2012;02/09/2012;22:30:00;Botafogo RJ;Coritiba;2;0;C
2012;02/09/2012;22:30:00;Cruzeiro;Nautico;3;0;C
2012;02/09/2012;22:30:00;Ponte Preta;Atletico GO;3;1;C
2012;05/09/2012;23:30:00;Bahia;Atletico-MG;0;0;e
2012;05/09/2012;23:30:00;Flamengo RJ;Ponte Preta;0;1;F
2012;05/09/2012;23:30:00;Nautico;Vasco;1;1;e
2012;05/09/2012;23:30:00;Portuguesa;Coritiba;3;0;C
2012;06/09/2012;00:30:00;Gremio;Atletico GO;2;1;C
